T0000100010001000200012026-06-0108:15:22TRANSFER  0000500000PENDING   Epargne mensuelle 
T0000100010001000200012026-06-0108:15:22WITHDRAW  0000500000PENDING   Epargne mensuelle 
T0000100010001000200012026-06-0108:15:22WITHDRAW  0000500000EXECUTED  Epargne mensuelle 
T0000100020001000200012026-06-0108:15:22DEPOSIT   0000500000PENDING   Epargne mensuelle 
T0000100020001000200012026-06-0108:15:22DEPOSIT   0000500000EXECUTED  Epargne mensuelle 
T0000100020001000200012026-06-0108:15:22TRANSFER  0000500000EXECUTED  Epargne mensuelle 
T0000200030003000400022026-06-0210:10:10TRANSFER  0000300000PENDING   Virement interne 
T0000200030003000400022026-06-0210:10:10WITHDRAW  0000300000EXECUTED  Virement interne 
T0000200040003000400022026-06-0210:10:10DEPOSIT   0000300000EXECUTED  Virement interne 
T0000200040003000400022026-06-0210:10:10TRANSFER  0000300000EXECUTED  Virement interne 
T0000300050005000600032026-06-0312:00:00TRANSFER  0000700000PENDING   Projet auto 
T0000300050005000600032026-06-0312:00:00WITHDRAW  0000700000EXECUTED  Projet auto 
T0000300060005000600032026-06-0312:00:00DEPOSIT   0000700000EXECUTED  Projet auto 
T0000300060005000600032026-06-0312:00:00TRANSFER  0000700000EXECUTED  Projet auto 
T0000400070007000800042026-06-0414:20:00TRANSFER  0000200000PENDING   Aide famille 
T0000400070007000800042026-06-0414:20:00WITHDRAW  0000200000EXECUTED  Aide famille 
T0000400080007000800042026-06-0414:20:00DEPOSIT   0000200000EXECUTED  Aide famille 
T0000400080007000800042026-06-0414:20:00TRANSFER  0000200000EXECUTED  Aide famille 
T0000500090009001000052026-06-0516:30:00TRANSFER  0000900000PENDING   Achat immobilier 
T0000500090009001000052026-06-0516:30:00WITHDRAW  0000900000EXECUTED  Achat immobilier 
T0000500100009001000052026-06-0516:30:00DEPOSIT   0000900000EXECUTED  Achat immobilier 
T0000500100009001000052026-06-0516:30:00TRANSFER  0000900000EXECUTED  Achat immobilier 
W0000600010000000000012026-06-0610:00:00WITHDRAW  0000100000EXECUTED  Retrait DAB 
E0000700010000000000012026-06-0611:00:00PAYMENT   0000075000EXECUTED  Carrefour 
D0000800010000000000012026-06-0612:00:00DEPOSIT   0000200000EXECUTED  Salaire 
E0000900010000000000012026-06-0613:00:00PAYMENT   0000040000EXECUTED  Amazon 
W0001000010000000000012026-06-0614:00:00WITHDRAW  0000050000EXECUTED  Liquide 
E0001100030000000000022026-06-0710:00:00PAYMENT   0000060000EXECUTED  EDF 
W0001200030000000000022026-06-0711:00:00WITHDRAW  0000100000EXECUTED  Retrait DAB 
E0001300030000000000022026-06-0712:00:00PAYMENT   0000035000EXECUTED  Netflix 
D0001400030000000000022026-06-0713:00:00DEPOSIT   0000250000EXECUTED  Remboursement 
E0001500030000000000022026-06-0714:00:00PAYMENT   0000080000EXECUTED  Leroy Merlin 
W0001600050000000000032026-06-0810:10:00WITHDRAW  0000200000EXECUTED  Vacances 
E0001700050000000000032026-06-0811:10:00PAYMENT   0000064000EXECUTED  Auchan 
D0001800050000000000032026-06-0812:10:00DEPOSIT   0000300000EXECUTED  Vente 
E0001900050000000000032026-06-0813:10:00PAYMENT   0000088000EXECUTED  Restaurant 
W0002000050000000000032026-06-0814:10:00WITHDRAW  0000100000EXECUTED  Cash 
E0002100070000000000042026-06-0910:00:00PAYMENT   0000055000EXECUTED  Amazon 
W0002200070000000000042026-06-0911:00:00WITHDRAW  0000120000EXECUTED  Retrait DAB 
E0002300070000000000042026-06-0912:00:00PAYMENT   0000073000EXECUTED  Decathlon 
D0002400070000000000042026-06-0913:00:00DEPOSIT   0000180000EXECUTED  Remboursement 
